# 攻方腿（Opus）m2-supp3-item1-code-r1 的变异表：五段制表符分隔——编号、变异名、文件、原文、替换文（\n 表示换行）。原文在开工快照的文件里必须恰好命中一次。
# 只在仓副本上施加（/tmp/claude-1000/m2-supp3-item1-r1-opus/slot-*/），主工作区不改。
A1	回收门槛 ≤ 写成 <（重建与抬 F 共用的 reclaim_released_up_to）	crates/singlefs-core/src/allocator.rs	.filter(|record| record.is_released && record.generation <= floor)	.filter(|record| record.is_released && record.generation < floor)
A2	抬 F 回收少一代（只改 raise_rollback_floor 的调用处）	crates/singlefs-core/src/mount.rs	reclaim_floor(new_floor, oldest_valid_root),	reclaim_floor(CheckpointTxg(new_floor.0.saturating_sub(1)), oldest_valid_root),
A3	挂载重建不看环里最旧有效根（只按 F_生效 回收）	crates/singlefs-core/src/mount.rs	reclaim_floor(effective_floor, oldest_valid_root),	reclaim_floor(effective_floor, None),
A4	抬 F 不看环里最旧有效根	crates/singlefs-core/src/mount.rs	reclaim_floor(new_floor, oldest_valid_root),	reclaim_floor(new_floor, None),
A5	checker 候选集把 txg = F 的根也挡在外面	crates/singlefs-checker/src/walk.rs	let below_floor = root.checkpoint_txg < newest_rollback_floor;	let below_floor = root.checkpoint_txg <= newest_rollback_floor;
A6	checker 把 txg = 行 T 的根也当被抛弃	crates/singlefs-checker/src/walk.rs	*row_instance == root.instance && root.checkpoint_txg > *row_txg	*row_instance == root.instance && root.checkpoint_txg >= *row_txg
A8	回收门槛取 min（F 与环里最旧有效根取小的）	crates/singlefs-core/src/mount.rs	oldest_valid_root.map_or(effective_floor, |oldest| effective_floor.max(oldest))	oldest_valid_root.map_or(effective_floor, |oldest| effective_floor.min(oldest))
B1	内容正好装满载荷容量也报装不下	crates/singlefs-core/src/transaction.rs	if file.content.len() > data_unit_capacity {	if file.content.len() >= data_unit_capacity {
B2	回退到 txg = F_生效 的根也拒	crates/singlefs-core/src/mount.rs	if target.checkpoint_txg < effective_floor {	if target.checkpoint_txg <= effective_floor {
B3	抬 F 上限不取第 4 新的非空根（只取每盘最新有效根）	crates/singlefs-core/src/mount.rs	Some(newest_on_every_device.min(fourth_newest))	Some(newest_on_every_device.max(fourth_newest))
B4	冷启动读回的内容字节倒序	crates/singlefs-core/src/recovery.rs	Ok(Some(payload.to_vec()))	Ok(Some(payload.iter().rev().copied().collect()))
B5	非空判定恒真（空发布也算非空）	crates/singlefs-core/src/mount.rs	root_pointers.inode_tree != previous_valid_root_pointers.inode_tree\n        || root_pointers.extent_tree != previous_valid_root_pointers.extent_tree	true || root_pointers.inode_tree != previous_valid_root_pointers.inode_tree\n        || root_pointers.extent_tree != previous_valid_root_pointers.extent_tree
N1	复用改写已回收记录时不改跨度（第 41 行同一处的另一格）	crates/singlefs-core/src/allocator.rs	existing.span_slots = u16::try_from(placement.span).expect("跨度 2 字节");\n            existing.generation = generation;	existing.generation = generation;
N2	复用改写已回收记录时不改分配代	crates/singlefs-core/src/allocator.rs	existing.generation = generation;\n            existing.is_released = false;	existing.is_released = false;
N3	复用改写已回收记录时不清已释放标志	crates/singlefs-core/src/allocator.rs	existing.is_released = false;\n            record_at_the_placement_slot	record_at_the_placement_slot
N4	让位只看起点严格落在落点前 span−1 槽里的记录（漏掉起点在落点末槽的；第 121 行同类）	crates/singlefs-core/src/allocator.rs	&& record.slot.0 < placement_end	&& record.slot.0 + 1 < placement_end
N5	让位漏掉起点在落点之前、跨进落点的记录（第 121 行同类）	crates/singlefs-core/src/allocator.rs	&& placement.slot.0 < record.slot.0 + u64::from(record.span_slots)	&& placement.slot.0 <= record.slot.0
A7	根环槽号取模多 1（第 n 次发布写区域内槽 (n div R) mod (S+1)：txg 24–26 落到环外）	crates/singlefs-core/src/root_ring.rs	slot: (checkpoint_txg.0 / ROOT_RING_REGIONS) % ROOT_RING_SLOTS_PER_REGION,	slot: (checkpoint_txg.0 / ROOT_RING_REGIONS) % (ROOT_RING_SLOTS_PER_REGION + 1),
B6	补齐字节从最后一个载荷字节算起（冷启动读回：内容末字节非零就报 I-2.3「补齐字节非零」）	crates/singlefs-core/src/unit.rs	    if bytes[payload_end..].iter().any(|byte| *byte != 0) {	    if bytes[payload_end - 1..].iter().any(|byte| *byte != 0) {
