# 攻方腿（Opus）m2-supp3-item1-code-r2 的变异表：五段制表符分隔——编号、变异名、文件、原文、替换文（\n 表示换行）。原文在开工快照的文件里必须恰好命中一次。只在仓副本上施加。
Y1a	实例表行解析：所选根的 txg 读小 1（core 的 instance_table.rs，挂载、回退、影子账与第 1 条的匹配函数共用）	crates/singlefs-core/src/instance_table.rs	        let selected_root_txg = CheckpointTxg(reader.get_u64());	        let selected_root_txg = CheckpointTxg(reader.get_u64().saturating_sub(1));
Y1b	实例表行解析：所选根的 txg 读大 1	crates/singlefs-core/src/instance_table.rs	        let selected_root_txg = CheckpointTxg(reader.get_u64());	        let selected_root_txg = CheckpointTxg(reader.get_u64().saturating_add(1));
Y1c	core 判被抛弃：txg = 行 T 的根也算被抛弃（只改 mount.rs 的 abandoned_by_table，匹配函数不共用它）	crates/singlefs-core/src/mount.rs	        .any(|row| row.instance == root.instance && root.checkpoint_txg > row.selected_root_txg)	        .any(|row| row.instance == root.instance && root.checkpoint_txg >= row.selected_root_txg)
Y1d	回退不查目标是不是被抛弃时间线的根	crates/singlefs-core/src/mount.rs	        .any(|row| row.instance == target.instance && target.checkpoint_txg > row.selected_root_txg)	        .any(|row| false && row.instance == target.instance && target.checkpoint_txg > row.selected_root_txg)
Y1e	读实例表丢掉最后一行（core 的 instance_table_of_root，匹配函数共用）	crates/singlefs-core/src/recovery.rs	    InstanceTableRecords::parse(&bytes)\n}	    InstanceTableRecords::parse(&bytes).map(|mut table| {\n        table.rows.pop();\n        table\n    })\n}
A1	回收门槛 ≤ 写成 <（第一轮 A1）	crates/singlefs-core/src/allocator.rs	.filter(|record| record.is_released && record.generation <= floor)	.filter(|record| record.is_released && record.generation < floor)
A2	抬 F 回收少一代（第一轮 A2）	crates/singlefs-core/src/mount.rs	reclaim_floor(new_floor, oldest_valid_root),	reclaim_floor(CheckpointTxg(new_floor.0.saturating_sub(1)), oldest_valid_root),
A5	checker 候选集把 txg = F 的根也挡在外面（第一轮 A5）	crates/singlefs-checker/src/walk.rs	let below_floor = root.checkpoint_txg < newest_rollback_floor;	let below_floor = root.checkpoint_txg <= newest_rollback_floor;
A6	checker 把 txg = 行 T 的根也当被抛弃（第一轮 A6）	crates/singlefs-checker/src/walk.rs	*row_instance == root.instance && root.checkpoint_txg > *row_txg	*row_instance == root.instance && root.checkpoint_txg >= *row_txg
A8	回收门槛取 min（第一轮 A8）	crates/singlefs-core/src/mount.rs	oldest_valid_root.map_or(effective_floor, |oldest| effective_floor.max(oldest))	oldest_valid_root.map_or(effective_floor, |oldest| effective_floor.min(oldest))
Y2d	分配记录落盘时仍分配的记录分配代写小 1（内存里的记录不变，已释放的照写）	crates/singlefs-core/src/allocator.rs	        writer.put_u64(self.generation.0);	        writer.put_u64(if self.is_released { self.generation.0 } else { self.generation.0.saturating_sub(1) });
A9	抬 F 一个落点都不回收（只改 raise_rollback_floor 的调用处）	crates/singlefs-core/src/mount.rs	        reclaim_floor(new_floor, oldest_valid_root),	        reclaim_floor(CheckpointTxg(0), None),
A10	抬 F 回收多一代（门槛取 new_floor + 1）	crates/singlefs-core/src/mount.rs	        reclaim_floor(new_floor, oldest_valid_root),	        reclaim_floor(CheckpointTxg(new_floor.0 + 1), oldest_valid_root),
