B6	fast	0	历史 96 段：跑完 45、以已知红收尾 {0: 50, 1: 1}、新发现 0；根环转过一圈的 62 段；最高 txg 37	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：50 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段		37.9s
B6	large 1000x60	0	历史 1000 段：跑完 282、以已知红收尾 {0: 705, 1: 13}、新发现 0；根环转过一圈的 711 段；最高 txg 61	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：705 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：13 段		185.2s
B6	large 3000x40	0	历史 3000 段：跑完 1041、以已知红收尾 {0: 1929, 1: 30}、新发现 0；根环转过一圈的 2102 段；最高 txg 50	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：1929 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：30 段		555.3s
A7	fast	101	历史 96 段：跑完 41、以已知红收尾 {0: 54, 1: 1}、新发现 0；根环转过一圈的 55 段；最高 txg 40	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：54 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段		45.2s
A7	large 1000x60	101	历史 1000 段：跑完 278、以已知红收尾 {0: 676, 1: 15}、新发现 31；根环转过一圈的 683 段；最高 txg 44	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：676 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：15 段 ; 已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：676 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：15 段	新发现 CheckerViolations { invariants: ["I-2.1", "I-4.8", "I-7.4"] }：第一个种子 99（同签名的种子 [99, 129, 256, 334, 364, 378, 400, 418, 441, 455, 530, 581, 633, 648, 712, 773, 790, 821, 853, 889, 894, 895, 924, 934]），在 Operation(26)（Some(CloseAndMountRollback)）之后 ; 新发现 CheckerViolations { invariants: ["I-2.1", "I-3.1", "I-4.8", "I-7.4"] }：第一个种子 352（同签名的种子 [352, 462, 598, 691, 918, 922]），在 Operation(32)（Some(CloseAndMountWritable)）之后 ; 新发现 CheckerViolations { invariants: ["I-2.1", "I-3.1", "I-4.8", "I-5.1", "I-7.4"] }：第一个种子 628（同签名的种子 [628]），在 Operation(25)（Some(CloseAndMountWritable)）之后 ; 新发现 CheckerViolations { invariants: ["I-2.1", "I-4.8", "I-7.4"] }：第一个种子 99（同签名的种子 [99, 129, 256, 334, 364, 378, 400, 418, 441, 455, 530, 581, 633, 648, 712, 773, 790, 821, 853, 889, 894, 895, 924, 934]），在 Operation(26)（Some(CloseAndMountRollback)）之后 ; 新发现 CheckerViolations { invariants: ["I-2.1", "I-3.1", "I-4.8", "I-7.4"] }：第一个种子 352（同签名的种子 [352, 462, 598, 691, 918, 922]），在 Operation(32)（Some(CloseAndMountWritable)）之后 ; 新发现 CheckerViolations { invariants: ["I-2.1", "I-3.1", "I-4.8", "I-5.1", "I-7.4"] }：第一个种子 628（同签名的种子 [628]），在 Operation(25)（Some(CloseAndMountWritable)）之后	414.0s
A7	large 3000x40	101	历史 3000 段：跑完 941、以已知红收尾 {0: 1957, 1: 36}、新发现 66；根环转过一圈的 1992 段；最高 txg 52	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：1957 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：36 段 ; 已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：1957 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：36 段	新发现 CheckerViolations { invariants: ["I-2.1", "I-4.8", "I-7.4"] }：第一个种子 99（同签名的种子 [99, 129, 256, 334, 364, 378, 400, 418, 441, 455, 530, 581, 633, 648, 712, 773, 790, 821, 853, 889, 894, 895, 934, 1069, 1179, 1260, 1348, 1411, 1485, 1594, 1676, 1685, 1731, 1792, 1814, 1848, 1849, 1860, 2060, 2117, 2273, 2279, 2291, 2360, 2387, 2474, 2554, 2579, 2604, 2628, 2639, 2645, 2693, 2715, 2727, 2979, 2998]），在 Operation(26)（Some(CloseAndMountRollback)）之后 ; 新发现 CheckerViolations { invariants: ["I-2.1", "I-3.1", "I-4.8", "I-7.4"] }：第一个种子 352（同签名的种子 [352, 462, 598, 691, 922, 1262, 1991]），在 Operation(32)（Some(CloseAndMountWritable)）之后 ; 新发现 CheckerViolations { invariants: ["I-2.1", "I-3.1", "I-4.8", "I-5.1", "I-7.4"] }：第一个种子 628（同签名的种子 [628, 2835]），在 Operation(25)（Some(CloseAndMountWritable)）之后 ; 新发现 CheckerViolations { invariants: ["I-2.1", "I-4.8", "I-7.4"] }：第一个种子 99（同签名的种子 [99, 129, 256, 334, 364, 378, 400, 418, 441, 455, 530, 581, 633, 648, 712, 773, 790, 821, 853, 889, 894, 895, 934, 1069, 1179, 1260, 1348, 1411, 1485, 1594, 1676, 1685, 1731, 1792, 1814, 1848, 1849, 1860, 2060, 2117, 2273, 2279, 2291, 2360, 2387, 2474, 2554, 2579, 2604, 2628, 2639, 2645, 2693, 2715, 2727, 2979, 2998]），在 Operation(26)（Some(CloseAndMountRollback)）之后 ; 新发现 CheckerViolations { invariants: ["I-2.1", "I-3.1", "I-4.8", "I-7.4"] }：第一个种子 352（同签名的种子 [352, 462, 598, 691, 922, 1262, 1991]），在 Operation(32)（Some(CloseAndMountWritable)）之后 ; 新发现 CheckerViolations { invariants: ["I-2.1", "I-3.1", "I-4.8", "I-5.1", "I-7.4"] }：第一个种子 628（同签名的种子 [628, 2835]），在 Operation(25)（Some(CloseAndMountWritable)）之后	410.8s
PB2b	fast	0	历史 96 段：跑完 45、以已知红收尾 {0: 50, 1: 1}、新发现 0；根环转过一圈的 62 段；最高 txg 37	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：50 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段		8.6s
PB2b	large 3000x40	101	历史 3000 段：跑完 1033、以已知红收尾 {0: 1906, 1: 30}、新发现 31；根环转过一圈的 2091 段；最高 txg 50	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：1906 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：30 段 ; 已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：1906 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：30 段	新发现 Panic { location: "crates/singlefs-core/src/mount.rs:1203" }：第一个种子 56（同签名的种子 [56, 124, 168, 187, 198, 280, 294, 422, 958, 1061, 1342, 1396, 1504, 1701, 2038, 2110, 2140, 2146, 2158, 2345, 2509, 2535, 2617, 2674, 2755, 2767, 2836, 2839, 2890, 2897, 2963]），在 Operation(32)（Some(CloseAndMountRollback)）之后 ; 新发现 Panic { location: "crates/singlefs-core/src/mount.rs:1203" }：第一个种子 56（同签名的种子 [56, 124, 168, 187, 198, 280, 294, 422, 958, 1061, 1342, 1396, 1504, 1701, 2038, 2110, 2140, 2146, 2158, 2345, 2509, 2535, 2617, 2674, 2755, 2767, 2836, 2839, 2890, 2897, 2963]），在 Operation(32)（Some(CloseAndMountRollback)）之后	166.5s
PB2b	large 1000x60	101	历史 1000 段：跑完 281、以已知红收尾 {0: 696, 1: 13}、新发现 10；根环转过一圈的 709 段；最高 txg 52	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：696 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：13 段 ; 已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：696 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：13 段	新发现 Panic { location: "crates/singlefs-core/src/mount.rs:1203" }：第一个种子 56（同签名的种子 [56, 124, 168, 181, 187, 198, 280, 294, 422, 958]），在 Operation(32)（Some(CloseAndMountRollback)）之后 ; 新发现 Panic { location: "crates/singlefs-core/src/mount.rs:1203" }：第一个种子 56（同签名的种子 [56, 124, 168, 181, 187, 198, 280, 294, 422, 958]），在 Operation(32)（Some(CloseAndMountRollback)）之后	82.2s
PN5	fast	0	历史 96 段：跑完 45、以已知红收尾 {0: 50, 1: 1}、新发现 0；根环转过一圈的 62 段；最高 txg 37	已知红第 0 条（增补 2 收口表第 ② 行（一次挂载转过一整圈根环时 checker 在合法状态上判 I-3.1 红））：50 段 ; 已知红第 1 条（增补 2 收口表第 43 行）：1 段		9.0s
